date,capacity_GW
2014.12,0.73
2015.03,1.42
2015.06,1.43
2015.09,1.58
2015.12,1.64
2016.03,2.17
2016.12,3.38
2017.03,4.43
2017.06,5.99
2017.09,7.19
2017.12,1.33
2018.06,9.93
2018.09,10.89
2018.12,11.38
2019.03,12.11
2019.06,12.36
2019.09,12.76
2019.12,13.39
2020.03,13.75
2020.06,14.09
2021.03,15.54
2021.06,16.216
2021.09,16.652
2021.12,18.418
2022.03,19.818
2022.06,21.289
2022.09,23.441
2022.12,25.39
2023.03,26.851
2023.06,28.56
2023.09,31.003
2023.12,29.665
2024.03,31.4735
2024.06,33.7733
2024.09,38.0949
